year,month,pr
2015,1,1.8149545e-05
2015,2,7.4518553e-06
2015,3,4.6796044e-06
2015,4,1.8799505e-05
2015,5,1.4089602e-05
2015,6,5.3684966e-05
2015,7,9.6532654e-05
2015,8,0.0001132506
2015,9,7.8340825e-05
2015,10,4.100059e-05
2015,11,1.3413123e-05
2015,12,1.5844256e-05
2016,1,7.843816e-06
2016,2,1.0623047e-05
2016,3,1.5185661e-05
2016,4,3.4757115e-06
2016,5,2.2763817e-05
2016,6,2.1582922e-05
2016,7,8.720092e-05
2016,8,0.00010026343
2016,9,7.257967e-05
2016,10,3.4582074e-05
2016,11,4.1241e-05
2016,12,1.8900706e-05
2017,1,1.7562819e-06
2017,2,2.8122818e-06
2017,3,5.3451577e-06
2017,4,3.6706015e-06
2017,5,1.1052131e-05
2017,6,6.7310444e-05
2017,7,0.000116296535
2017,8,0.00010383478
2017,9,8.150678e-05
2017,10,2.8899562e-05
2017,11,2.7896189e-05
2017,12,7.2637163e-06
2018,1,3.2215496e-06
2018,2,3.0582619e-06
2018,3,2.116205e-06
2018,4,5.3692306e-06
2018,5,2.6804873e-05
2018,6,8.989738e-05
2018,7,8.675479e-05
2018,8,9.7036376e-05
2018,9,8.7255474e-05
2018,10,5.3742187e-05
2018,11,3.8335394e-05
2018,12,1.7760563e-05
2019,1,3.2515886e-06
2019,2,7.996847e-07
2019,3,1.331223e-06
2019,4,6.4580863e-06
2019,5,1.9766772e-05
2019,6,3.3886306e-05
2019,7,0.000103405284
2019,8,9.016217e-05
2019,9,9.329312e-05
2019,10,4.220826e-05
2019,11,1.4917798e-05
2019,12,3.2068074e-06
2020,1,1.8817793e-05
2020,2,1.7629138e-05
2020,3,2.3325776e-05
2020,4,1.6949289e-05
2020,5,1.0545027e-05
2020,6,8.956232e-05
2020,7,0.00010039444
2020,8,8.531522e-05
2020,9,9.351775e-05
2020,10,6.416804e-05
2020,11,2.5143589e-05
2020,12,1.1329813e-05
2021,1,7.771857e-06
2021,2,8.722595e-06
2021,3,1.4105716e-05
2021,4,1.3956424e-05
2021,5,1.0337714e-05
2021,6,5.897555e-05
2021,7,8.320227e-05
2021,8,8.643244e-05
2021,9,7.075135e-05
2021,10,4.5207064e-05
2021,11,3.3546727e-05
2021,12,3.4869165e-05
2022,1,9.732833e-06
2022,2,1.0433988e-05
2022,3,8.475223e-06
2022,4,5.1873976e-06
2022,5,1.9935576e-05
2022,6,3.898856e-05
2022,7,9.735211e-05
2022,8,0.00010257358
2022,9,7.4318734e-05
2022,10,5.8633148e-05
2022,11,3.0554005e-05
2022,12,4.71074e-06
2023,1,2.5759834e-06
2023,2,9.913425e-07
2023,3,4.0776054e-06
2023,4,5.9963363e-06
2023,5,1.3209576e-05
2023,6,4.4623714e-05
2023,7,7.261649e-05
2023,8,0.00010624801
2023,9,7.830737e-05
2023,10,6.0478418e-05
2023,11,5.678576e-05
2023,12,1.6175021e-05
2024,1,6.133069e-06
2024,2,4.4480225e-06
2024,3,9.58248e-06
2024,4,4.6908344e-06
2024,5,3.8770297e-05
2024,6,5.0634095e-05
2024,7,0.00011670448
2024,8,9.9240875e-05
2024,9,8.387208e-05
2024,10,3.521533e-05
2024,11,2.8660861e-05
2024,12,6.2626027e-06
2025,1,6.22803e-06
2025,2,3.002082e-06
2025,3,3.2088833e-06
2025,4,8.331093e-06
2025,5,2.7529708e-05
2025,6,4.986849e-05
2025,7,0.00010113555
2025,8,0.00010284618
2025,9,8.312604e-05
2025,10,4.2306478e-05
2025,11,2.4197958e-05
2025,12,1.2647562e-05
2026,1,7.452867e-06
2026,2,2.1124756e-06
2026,3,3.3961742e-06
2026,4,7.975085e-06
2026,5,2.153375e-05
2026,6,5.864147e-05
2026,7,9.381656e-05
2026,8,9.214017e-05
2026,9,9.485278e-05
2026,10,5.4269818e-05
2026,11,2.2987393e-05
2026,12,1.3048459e-05
2027,1,4.473782e-06
2027,2,4.322031e-06
2027,3,2.7129665e-06
2027,4,8.0459295e-06
2027,5,1.5954069e-05
2027,6,5.593017e-05
2027,7,8.485737e-05
2027,8,8.833531e-05
2027,9,8.938197e-05
2027,10,6.530031e-05
2027,11,4.0458122e-05
2027,12,1.4057044e-05
2028,1,4.2286647e-06
2028,2,5.341851e-06
2028,3,1.0635167e-05
2028,4,1.1625813e-05
2028,5,1.883075e-05
2028,6,6.334311e-05
2028,7,9.4086085e-05
2028,8,7.842135e-05
2028,9,8.870567e-05
2028,10,4.278126e-05
2028,11,4.1183488e-05
2028,12,4.429816e-06
2029,1,4.911367e-06
2029,2,8.171661e-06
2029,3,4.072556e-06
2029,4,1.43657935e-05
2029,5,1.2002515e-05
2029,6,8.6850094e-05
2029,7,9.8945304e-05
2029,8,9.380887e-05
2029,9,8.144749e-05
2029,10,4.5596782e-05
2029,11,4.2492655e-05
2029,12,6.5445297e-06
2030,1,2.3399168e-06
2030,2,8.202688e-07
2030,3,1.5553885e-06
2030,4,2.9977568e-06
2030,5,1.7039818e-05
2030,6,3.1460924e-05
2030,7,9.704296e-05
2030,8,9.9109835e-05
2030,9,7.781025e-05
2030,10,4.5025943e-05
2030,11,5.391322e-05
2030,12,1.5641861e-05
2031,1,7.9241745e-06
2031,2,9.556854e-07
2031,3,1.0442409e-05
2031,4,7.2330345e-06
2031,5,1.8108176e-05
2031,6,6.205671e-05
2031,7,0.00011175526
2031,8,0.00010103325
2031,9,7.446093e-05
2031,10,3.9715444e-05
2031,11,6.526388e-05
2031,12,1.2891236e-05
2032,1,2.3818602e-06
2032,2,2.3968207e-06
2032,3,1.156741e-06
2032,4,7.0087654e-06
2032,5,7.790439e-06
2032,6,3.5686604e-05
2032,7,9.5249445e-05
2032,8,0.00010441087
2032,9,7.93126e-05
2032,10,7.0744056e-05
2032,11,4.1193634e-05
2032,12,1.33389485e-05
2033,1,6.6260163e-06
2033,2,3.3656074e-06
2033,3,7.704036e-06
2033,4,1.6339332e-05
2033,5,1.0487203e-05
2033,6,5.9833e-05
2033,7,9.102158e-05
2033,8,8.993749e-05
2033,9,7.77633e-05
2033,10,3.745046e-05
2033,11,1.5817894e-05
2033,12,1.0009399e-05
2034,1,5.8096257e-06
2034,2,1.3874969e-06
2034,3,1.6058693e-06
2034,4,4.804556e-06
2034,5,1.32147625e-05
2034,6,2.7075537e-05
2034,7,0.000106510495
2034,8,0.00010483029
2034,9,8.204467e-05
2034,10,3.7910035e-05
2034,11,3.329572e-05
2034,12,1.0874858e-05
2035,1,4.2832767e-06
2035,2,7.76873e-06
2035,3,4.9863283e-06
2035,4,1.1874528e-05
2035,5,2.3468596e-05
2035,6,5.276483e-05
2035,7,0.00010954843
2035,8,0.00011489407
2035,9,6.6566565e-05
2035,10,3.077686e-05
2035,11,2.3294719e-05
2035,12,1.5362302e-05
2036,1,3.0742046e-06
2036,2,3.5058456e-06
2036,3,2.3355822e-06
2036,4,5.089347e-06
2036,5,1.8521994e-05
2036,6,7.519789e-05
2036,7,8.526147e-05
2036,8,0.00010342647
2036,9,6.973598e-05
2036,10,4.186802e-05
2036,11,4.0929335e-05
2036,12,1.9405676e-05
2037,1,4.666269e-06
2037,2,2.2620757e-06
2037,3,2.3785744e-06
2037,4,2.0159664e-06
2037,5,1.7200611e-05
2037,6,2.3074577e-05
2037,7,0.00013500251
2037,8,0.00010940352
2037,9,0.00011548039
2037,10,4.6683992e-05
2037,11,2.2557864e-05
2037,12,2.8993332e-05
2038,1,1.3681547e-05
2038,2,3.2522669e-06
2038,3,3.7692346e-06
2038,4,1.1121759e-05
2038,5,1.928357e-05
2038,6,7.107319e-05
2038,7,0.00011757496
2038,8,0.00012512167
2038,9,0.000105500934
2038,10,4.2504613e-05
2038,11,2.2905077e-05
2038,12,2.3678787e-05
2039,1,4.6363234e-06
2039,2,2.5610339e-06
2039,3,8.1319795e-06
2039,4,9.831934e-06
2039,5,2.6406185e-05
2039,6,3.581435e-05
2039,7,0.00010881907
2039,8,9.958798e-05
2039,9,7.2734016e-05
2039,10,4.2475585e-05
2039,11,4.3223306e-05
2039,12,2.0277577e-05
2040,1,9.221728e-06
2040,2,4.735251e-06
2040,3,8.338649e-06
2040,4,1.0687037e-05
2040,5,1.9501962e-05
2040,6,3.067742e-05
2040,7,9.665954e-05
2040,8,7.7202996e-05
2040,9,6.2197425e-05
2040,10,6.149214e-05
2040,11,5.898567e-05
2040,12,1.6418913e-05
2041,1,2.4813507e-06
2041,2,1.7812118e-06
2041,3,3.0511944e-06
2041,4,5.283994e-06
2041,5,1.4095434e-05
2041,6,2.7422673e-05
2041,7,0.000108351975
2041,8,8.839316e-05
2041,9,7.7917925e-05
2041,10,3.569958e-05
2041,11,1.0665007e-05
2041,12,3.335125e-05
2042,1,9.367448e-06
2042,2,1.602338e-05
2042,3,1.47722385e-05
2042,4,7.1615673e-06
2042,5,3.179715e-05
2042,6,3.0191568e-05
2042,7,0.000108254855
2042,8,9.162767e-05
2042,9,8.094147e-05
2042,10,4.801792e-05
2042,11,1.6171347e-05
2042,12,5.159863e-06
2043,1,5.2708256e-06
2043,2,2.2668962e-06
2043,3,9.112424e-06
2043,4,5.8373266e-06
2043,5,2.179607e-05
2043,6,5.086502e-05
2043,7,8.423822e-05
2043,8,9.111081e-05
2043,9,9.007879e-05
2043,10,5.565753e-05
2043,11,2.3234536e-05
2043,12,1.2474641e-05
2044,1,5.3001586e-06
2044,2,3.0213912e-06
2044,3,3.9829933e-06
2044,4,1.27436815e-05
2044,5,2.3194358e-05
2044,6,4.4853605e-05
2044,7,9.367307e-05
2044,8,0.00010187688
2044,9,7.893846e-05
2044,10,4.7882968e-05
2044,11,2.7092467e-05
2044,12,7.567938e-06
2045,1,2.3969449e-06
2045,2,2.641568e-06
2045,3,1.5275501e-06
2045,4,4.0942227e-06
2045,5,1.9582101e-05
2045,6,4.2181884e-05
2045,7,9.616698e-05
2045,8,8.907587e-05
2045,9,7.994712e-05
2045,10,4.6299174e-05
2045,11,3.170227e-05
2045,12,5.072083e-06
2046,1,4.920523e-06
2046,2,1.4255976e-06
2046,3,1.1709792e-06
2046,4,4.6511204e-06
2046,5,1.3225165e-05
2046,6,7.571913e-05
2046,7,0.00011419095
2046,8,9.442688e-05
2046,9,7.94537e-05
2046,10,6.560117e-05
2046,11,4.1444233e-05
2046,12,8.280941e-06
2047,1,2.6438233e-06
2047,2,2.4152914e-06
2047,3,1.2172385e-06
2047,4,4.051442e-06
2047,5,9.708605e-06
2047,6,4.0064075e-05
2047,7,0.00012133696
2047,8,9.813344e-05
2047,9,9.303517e-05
2047,10,6.710346e-05
2047,11,1.3372225e-05
2047,12,1.3116144e-05
2048,1,1.871666e-05
2048,2,1.09642915e-05
2048,3,5.6020663e-06
2048,4,8.629989e-06
2048,5,2.2835598e-05
2048,6,3.0257985e-05
2048,7,9.649686e-05
2048,8,9.671124e-05
2048,9,7.794521e-05
2048,10,3.1606472e-05
2048,11,3.2775115e-05
2048,12,1.4268015e-05
2049,1,3.4051477e-06
2049,2,1.3429209e-06
2049,3,2.1458654e-06
2049,4,5.1540833e-06
2049,5,1.3980871e-05
2049,6,4.2318246e-05
2049,7,0.00010863805
2049,8,0.00010572128
2049,9,8.380625e-05
2049,10,4.727258e-05
2049,11,2.5916006e-05
2049,12,2.3596884e-05
2050,1,1.0225076e-05
2050,2,4.757797e-06
2050,3,1.2355607e-05
2050,4,9.698797e-06
2050,5,2.0630023e-05
2050,6,4.196041e-05
2050,7,0.000121128774
2050,8,0.00010309932
2050,9,8.815989e-05
2050,10,6.564148e-05
2050,11,2.6042364e-05
2050,12,5.0875356e-06
2051,1,2.824651e-06
2051,2,7.837841e-06
2051,3,8.72541e-06
2051,4,1.3774907e-05
2051,5,1.816083e-05
2051,6,6.439585e-05
2051,7,8.760817e-05
2051,8,0.00011313916
2051,9,9.610931e-05
2051,10,3.868355e-05
2051,11,2.3024013e-05
2051,12,2.7984368e-05
2052,1,2.7093529e-06
2052,2,9.4556077e-07
2052,3,1.0197829e-05
2052,4,5.9727795e-06
2052,5,2.1199656e-05
2052,6,4.2886248e-05
2052,7,0.00011835917
2052,8,8.632184e-05
2052,9,7.645131e-05
2052,10,3.80223e-05
2052,11,4.603578e-05
2052,12,1.3688631e-05
2053,1,3.7829443e-06
2053,2,2.35698e-06
2053,3,1.4178286e-06
2053,4,3.000776e-06
2053,5,6.7255387e-06
2053,6,8.956156e-05
2053,7,7.2549155e-05
2053,8,9.569808e-05
2053,9,9.563724e-05
2053,10,4.0634295e-05
2053,11,4.439394e-05
2053,12,1.5062761e-05
2054,1,4.8148245e-06
2054,2,2.6370335e-06
2054,3,3.6228093e-06
2054,4,7.449839e-06
2054,5,1.57439e-05
2054,6,5.886798e-05
2054,7,0.00012425298
2054,8,0.00010535226
2054,9,8.641301e-05
2054,10,5.7039826e-05
2054,11,3.0583356e-05
2054,12,6.694688e-06
2055,1,1.881912e-05
2055,2,9.62879e-06
2055,3,2.889254e-06
2055,4,7.3108354e-06
2055,5,2.3734765e-05
2055,6,4.061744e-05
2055,7,7.368322e-05
2055,8,0.000108544045
2055,9,9.396403e-05
2055,10,3.6566773e-05
2055,11,4.2415166e-05
2055,12,1.39015665e-05
2056,1,4.163094e-06
2056,2,3.4064904e-06
2056,3,1.3399587e-06
2056,4,4.7051494e-06
2056,5,2.4373285e-05
2056,6,4.637494e-05
2056,7,0.00012391257
