year,month,pr
2015,1,0.00011367095
2015,2,0.000111608344
2015,3,9.65542e-05
2015,4,7.191365e-05
2015,5,7.315555e-05
2015,6,4.3233365e-05
2015,7,2.2919274e-05
2015,8,9.600865e-06
2015,9,9.083032e-06
2015,10,1.8449218e-05
2015,11,5.6495508e-05
2015,12,0.00011031589
2016,1,9.8088225e-05
2016,2,0.00011713119
2016,3,8.8348024e-05
2016,4,8.372924e-05
2016,5,7.874845e-05
2016,6,4.0165436e-05
2016,7,1.6300366e-05
2016,8,6.77836e-06
2016,9,3.110362e-06
2016,10,1.3502039e-05
2016,11,2.981582e-05
2016,12,6.7504225e-05
2017,1,0.00010029225
2017,2,8.902605e-05
2017,3,7.9012294e-05
2017,4,8.6006774e-05
2017,5,7.9685975e-05
2017,6,3.531374e-05
2017,7,2.0043854e-05
2017,8,7.365346e-06
2017,9,8.84216e-06
2017,10,2.401016e-05
2017,11,4.3780867e-05
2017,12,7.783358e-05
2018,1,0.00010216228
2018,2,8.812868e-05
2018,3,8.529447e-05
2018,4,8.891708e-05
2018,5,6.54308e-05
2018,6,2.7169914e-05
2018,7,1.5925234e-05
2018,8,5.762958e-06
2018,9,5.4265693e-06
2018,10,5.3400504e-06
2018,11,1.4746543e-05
2018,12,2.0549718e-05
2019,1,7.0630354e-05
2019,2,8.138114e-05
2019,3,8.0241836e-05
2019,4,8.893379e-05
2019,5,8.2883766e-05
2019,6,3.9212126e-05
2019,7,1.5808606e-05
2019,8,1.0171891e-05
2019,9,6.3333514e-06
2019,10,1.5398804e-05
2019,11,3.473975e-05
2019,12,0.00010921095
2020,1,0.00011751113
2020,2,0.00011753261
2020,3,0.000112614514
2020,4,9.284189e-05
2020,5,6.94656e-05
2020,6,4.9282364e-05
2020,7,2.134008e-05
2020,8,1.0951861e-05
2020,9,6.4217656e-06
2020,10,1.9741214e-05
2020,11,9.869651e-05
2020,12,0.00012479532
2021,1,0.00012334097
2021,2,0.00010615348
2021,3,9.6579766e-05
2021,4,0.00011327571
2021,5,6.922136e-05
2021,6,3.4445886e-05
2021,7,2.1815817e-05
2021,8,7.745457e-06
2021,9,5.465788e-06
2021,10,1.5585716e-05
2021,11,4.3039992e-05
2021,12,0.000118113465
2022,1,9.5185795e-05
2022,2,0.00010396658
2022,3,8.914736e-05
2022,4,7.850993e-05
2022,5,7.622144e-05
2022,6,3.2289077e-05
2022,7,1.5802576e-05
2022,8,9.255162e-06
2022,9,7.7026425e-06
2022,10,1.5781356e-05
2022,11,6.634205e-05
2022,12,0.000105396975
2023,1,0.00010929871
2023,2,9.217894e-05
2023,3,0.000103395665
2023,4,7.95361e-05
2023,5,7.619324e-05
2023,6,4.279099e-05
2023,7,1.6752982e-05
2023,8,5.3591416e-06
2023,9,2.10749e-06
2023,10,6.5602526e-06
2023,11,5.224363e-05
2023,12,9.044064e-05
2024,1,0.00010699446
2024,2,0.00010099962
2024,3,9.935515e-05
2024,4,7.8680816e-05
2024,5,7.7127384e-05
2024,6,3.355536e-05
2024,7,1.830444e-05
2024,8,9.644172e-06
2024,9,5.650011e-06
2024,10,1.54433e-05
2024,11,5.1485003e-05
2024,12,9.673103e-05
2025,1,0.0001089863
2025,2,0.000100198
2025,3,0.00011014267
2025,4,0.00012696776
2025,5,8.650531e-05
2025,6,3.2538017e-05
2025,7,2.023946e-05
2025,8,9.8909895e-06
2025,9,5.3935605e-06
2025,10,5.3075582e-06
2025,11,1.7531693e-05
2025,12,7.8075085e-05
2026,1,8.454127e-05
2026,2,0.00010192562
2026,3,8.987075e-05
2026,4,9.4571864e-05
2026,5,6.699269e-05
2026,6,2.82552e-05
2026,7,1.2715519e-05
2026,8,6.697843e-06
2026,9,6.0155658e-06
2026,10,1.23900845e-05
2026,11,5.301084e-05
2026,12,7.543668e-05
2027,1,0.00010705672
2027,2,9.572664e-05
2027,3,0.000111388115
2027,4,8.4506086e-05
2027,5,6.280411e-05
2027,6,3.0260015e-05
2027,7,1.2766442e-05
2027,8,8.276098e-06
2027,9,1.7903399e-06
2027,10,5.2679484e-06
2027,11,4.1339656e-05
2027,12,9.477107e-05
2028,1,0.00010795919
2028,2,0.000100389945
2028,3,0.00010895323
2028,4,0.00010350454
2028,5,7.426602e-05
2028,6,3.0127374e-05
2028,7,1.8739702e-05
2028,8,6.8230534e-06
2028,9,5.1342754e-06
2028,10,7.5089624e-06
2028,11,6.716445e-05
2028,12,0.0001195722
2029,1,0.000114924405
2029,2,9.570012e-05
2029,3,0.00010792427
2029,4,9.409404e-05
2029,5,7.7965204e-05
2029,6,3.483042e-05
2029,7,1.7313321e-05
2029,8,8.048984e-06
2029,9,5.141686e-06
2029,10,1.145318e-05
2029,11,3.9056307e-05
2029,12,0.00010061187
2030,1,0.00010598341
2030,2,8.690683e-05
2030,3,8.763552e-05
2030,4,6.606314e-05
2030,5,7.347861e-05
2030,6,3.75945e-05
2030,7,1.43853085e-05
2030,8,8.247009e-06
2030,9,4.0781683e-06
2030,10,1.3327622e-05
2030,11,3.7009744e-05
2030,12,7.7363664e-05
2031,1,0.000114707036
2031,2,0.000113063696
2031,3,9.534936e-05
2031,4,7.5389165e-05
2031,5,6.926219e-05
2031,6,4.222277e-05
2031,7,1.6650905e-05
2031,8,1.0656131e-05
2031,9,7.998467e-06
2031,10,1.2523823e-05
2031,11,4.3562064e-05
2031,12,7.848541e-05
2032,1,0.0001001844
2032,2,0.00011355887
2032,3,0.00011647038
2032,4,8.710461e-05
2032,5,7.082488e-05
2032,6,3.608413e-05
2032,7,1.8583254e-05
2032,8,7.5289095e-06
2032,9,7.492245e-06
2032,10,9.543048e-06
2032,11,3.2825465e-05
2032,12,9.6211406e-05
2033,1,0.000111367415
2033,2,0.0001187988
2033,3,8.333412e-05
2033,4,7.412511e-05
2033,5,5.2324347e-05
2033,6,4.3400352e-05
2033,7,1.9237288e-05
2033,8,1.04045475e-05
2033,9,1.2112632e-05
2033,10,2.1478714e-05
2033,11,3.4163993e-05
2033,12,7.099435e-05
2034,1,0.00010774946
2034,2,0.000107370935
2034,3,9.7936034e-05
2034,4,9.9339966e-05
2034,5,7.944155e-05
2034,6,4.815591e-05
2034,7,1.932771e-05
2034,8,9.389156e-06
2034,9,4.4120943e-06
2034,10,3.259806e-05
2034,11,3.9533374e-05
2034,12,8.8014705e-05
2035,1,9.534051e-05
2035,2,0.00010005724
2035,3,9.489732e-05
2035,4,8.507699e-05
2035,5,7.903163e-05
2035,6,3.5786314e-05
2035,7,1.8152927e-05
2035,8,7.180808e-06
2035,9,6.0764796e-06
2035,10,5.9311337e-06
2035,11,3.451904e-05
2035,12,0.00010481604
2036,1,0.00010918264
2036,2,9.67149e-05
2036,3,8.7898145e-05
2036,4,8.782321e-05
2036,5,7.496992e-05
2036,6,3.4164535e-05
2036,7,1.5643616e-05
2036,8,1.036983e-05
2036,9,5.079355e-06
2036,10,1.4911477e-05
2036,11,4.2075448e-05
2036,12,8.5986874e-05
2037,1,8.596056e-05
2037,2,8.4665124e-05
2037,3,9.297199e-05
2037,4,8.893657e-05
2037,5,6.1325525e-05
2037,6,3.347049e-05
2037,7,1.3721149e-05
2037,8,7.291689e-06
2037,9,3.088776e-06
2037,10,2.0094674e-05
2037,11,4.1623483e-05
2037,12,9.048729e-05
2038,1,7.6791075e-05
2038,2,0.00010456307
2038,3,7.8682664e-05
2038,4,6.634484e-05
2038,5,5.8674534e-05
2038,6,2.6569089e-05
2038,7,1.774743e-05
2038,8,6.796674e-06
2038,9,5.244599e-06
2038,10,1.5891757e-05
2038,11,4.397433e-05
2038,12,7.218732e-05
2039,1,0.00011530978
2039,2,0.00011950219
2039,3,0.00010214218
2039,4,7.544186e-05
2039,5,7.0925584e-05
2039,6,3.5737638e-05
2039,7,1.2462116e-05
2039,8,7.105464e-06
2039,9,3.3600522e-06
2039,10,1.0653128e-05
2039,11,5.3305346e-05
2039,12,9.9272496e-05
2040,1,0.00011670329
2040,2,0.00011595402
2040,3,8.379993e-05
2040,4,9.104014e-05
2040,5,6.865428e-05
2040,6,4.0028663e-05
2040,7,1.5452644e-05
2040,8,4.7778503e-06
2040,9,8.573001e-06
2040,10,1.0422332e-05
2040,11,2.0670144e-05
2040,12,7.5202595e-05
2041,1,7.4957854e-05
2041,2,9.493832e-05
2041,3,9.746974e-05
2041,4,6.797843e-05
2041,5,7.235878e-05
2041,6,4.7618316e-05
2041,7,1.4700561e-05
2041,8,6.9129283e-06
2041,9,6.479784e-06
2041,10,2.0847396e-05
