year,month,pr
2015,1,1.4053866e-07
2015,2,1.0031088e-06
2015,3,3.4290174e-06
2015,4,1.0384935e-05
2015,5,1.8174902e-05
2015,6,7.363885e-05
2015,7,9.504323e-05
2015,8,0.000107477834
2015,9,7.7675926e-05
2015,10,4.1458257e-05
2015,11,9.779279e-06
2015,12,9.989798e-07
2016,1,1.0830434e-08
2016,2,2.9815627e-07
2016,3,5.062939e-06
2016,4,8.3474315e-06
2016,5,1.8951445e-05
2016,6,7.342283e-05
2016,7,8.698626e-05
2016,8,8.332071e-05
2016,9,8.784055e-05
2016,10,3.9580613e-05
2016,11,7.02932e-06
2016,12,6.2147575e-07
2017,1,2.3996134e-07
2017,2,2.0456544e-06
2017,3,4.9540854e-06
2017,4,6.1500114e-06
2017,5,1.4983022e-05
2017,6,5.3920427e-05
2017,7,7.736433e-05
2017,8,9.886475e-05
2017,9,7.2847775e-05
2017,10,5.151361e-05
2017,11,6.613639e-06
2017,12,3.2247698e-07
2018,1,1.6245839e-07
2018,2,1.2709452e-06
2018,3,4.4713092e-06
2018,4,9.768447e-06
2018,5,4.1354433e-05
2018,6,6.0912163e-05
2018,7,9.979558e-05
2018,8,9.725841e-05
2018,9,8.732456e-05
2018,10,5.094934e-05
2018,11,1.5608442e-05
2018,12,6.305432e-08
2019,1,1.8937766e-07
2019,2,1.1966105e-07
2019,3,2.7911422e-06
2019,4,8.38196e-06
2019,5,2.2139595e-05
2019,6,5.8373935e-05
2019,7,8.014543e-05
2019,8,0.00010103816
2019,9,7.3148425e-05
2019,10,3.7676837e-05
2019,11,8.769407e-06
2019,12,3.3709017e-07
2020,1,7.9042286e-07
2020,2,2.2962854e-07
2020,3,5.0409394e-06
2020,4,1.655057e-05
2020,5,3.329872e-05
2020,6,5.992055e-05
2020,7,8.067493e-05
2020,8,9.64037e-05
2020,9,6.5204906e-05
2020,10,4.1972697e-05
2020,11,9.334143e-06
2020,12,3.3787504e-07
2021,1,2.7615758e-07
2021,2,1.0581244e-06
2021,3,3.3170722e-06
2021,4,1.0973316e-05
2021,5,2.6635236e-05
2021,6,4.145831e-05
2021,7,9.62027e-05
2021,8,9.964753e-05
2021,9,8.8191526e-05
2021,10,3.478509e-05
2021,11,8.630875e-06
2021,12,6.812172e-08
2022,1,4.3574784e-07
2022,2,3.9671892e-07
2022,3,2.1675173e-06
2022,4,7.25933e-06
2022,5,2.534627e-05
2022,6,5.3008185e-05
2022,7,8.809902e-05
2022,8,7.626886e-05
2022,9,7.990725e-05
2022,10,5.377991e-05
2022,11,4.2603215e-06
2022,12,9.486578e-08
2023,1,4.873823e-09
2023,2,5.155487e-07
2023,3,6.125105e-06
2023,4,9.930017e-06
2023,5,3.607525e-05
2023,6,5.8211157e-05
2023,7,0.00010872173
2023,8,8.734529e-05
2023,9,8.4583335e-05
2023,10,3.967046e-05
2023,11,5.254816e-06
2023,12,4.2733416e-07
2024,1,1.1332963e-07
2024,2,6.786444e-07
2024,3,3.3955487e-06
2024,4,8.305072e-06
2024,5,2.5351555e-05
2024,6,6.404993e-05
2024,7,7.5969714e-05
2024,8,8.666593e-05
2024,9,8.68676e-05
2024,10,4.4821023e-05
2024,11,7.688539e-06
2024,12,3.5447588e-08
2025,1,1.2189095e-07
2025,2,7.543556e-07
2025,3,5.72938e-06
2025,4,1.7231727e-05
2025,5,2.6713513e-05
2025,6,5.970004e-05
2025,7,9.224459e-05
2025,8,8.722285e-05
2025,9,7.424442e-05
2025,10,7.010304e-05
2025,11,1.385187e-05
2025,12,5.485218e-08
2026,1,7.3472876e-08
2026,2,1.492135e-07
2026,3,2.262906e-06
2026,4,8.85336e-06
2026,5,2.192946e-05
2026,6,4.5037574e-05
2026,7,7.974699e-05
2026,8,7.8134464e-05
2026,9,9.247155e-05
2026,10,3.6718408e-05
2026,11,6.1677515e-06
2026,12,9.1703086e-08
2027,1,1.1011183e-07
2027,2,2.0218429e-06
2027,3,3.9544993e-06
2027,4,1.0955056e-05
2027,5,2.4379759e-05
2027,6,4.290179e-05
2027,7,0.00010216287
2027,8,0.000108698114
2027,9,8.443037e-05
2027,10,6.321748e-05
2027,11,7.5571256e-06
2027,12,7.333807e-07
2028,1,1.6534018e-07
2028,2,1.717788e-06
2028,3,4.0819004e-06
2028,4,7.0909527e-06
2028,5,2.8031298e-05
2028,6,6.896957e-05
2028,7,9.040248e-05
2028,8,0.000113604496
2028,9,7.672801e-05
2028,10,5.4353997e-05
2028,11,1.9768362e-05
2028,12,2.0625826e-07
2029,1,3.226509e-07
2029,2,9.3954435e-07
2029,3,8.5022175e-06
2029,4,8.299338e-06
2029,5,3.232536e-05
2029,6,5.104533e-05
2029,7,8.371346e-05
2029,8,0.000109839595
2029,9,0.00010022355
2029,10,5.238895e-05
2029,11,1.9040775e-05
2029,12,1.1173891e-07
2030,1,2.8022066e-07
2030,2,4.8648405e-07
2030,3,2.8606516e-06
2030,4,6.6073926e-06
2030,5,1.8121253e-05
2030,6,5.7619498e-05
2030,7,9.60087e-05
2030,8,0.00010383521
2030,9,8.5681386e-05
2030,10,6.032021e-05
2030,11,1.8927198e-05
2030,12,1.09185e-06
2031,1,5.1909144e-08
2031,2,4.6867729e-07
2031,3,3.3921972e-06
2031,4,7.2514736e-06
2031,5,2.3661067e-05
2031,6,7.3320814e-05
2031,7,8.418898e-05
2031,8,7.773304e-05
2031,9,7.835733e-05
2031,10,5.441933e-05
2031,11,4.4965805e-06
2031,12,1.6046052e-07
2032,1,2.5191474e-07
2032,2,2.4081528e-06
2032,3,5.0466233e-06
2032,4,1.132597e-05
2032,5,1.8711102e-05
2032,6,5.7547953e-05
2032,7,9.9587254e-05
2032,8,9.527933e-05
2032,9,8.7200715e-05
2032,10,4.915333e-05
2032,11,4.425613e-06
2032,12,3.6339867e-07
2033,1,4.4999635e-07
2033,2,9.938461e-07
2033,3,3.328603e-06
2033,4,1.02013855e-05
2033,5,2.7686561e-05
2033,6,6.6286084e-05
2033,7,0.00010600999
2033,8,9.6724194e-05
2033,9,8.7361004e-05
2033,10,6.165385e-05
2033,11,1.904497e-05
2033,12,7.481201e-08
2034,1,8.796962e-09
2034,2,4.5248316e-07
2034,3,2.2742338e-06
2034,4,9.944361e-06
2034,5,1.7105853e-05
2034,6,6.770031e-05
2034,7,8.392912e-05
2034,8,8.738036e-05
2034,9,9.665046e-05
2034,10,5.9145048e-05
2034,11,7.921169e-06
2034,12,2.975239e-07
2035,1,5.8501058e-08
2035,2,3.4605097e-07
2035,3,3.1571667e-06
2035,4,1.2283318e-05
2035,5,2.7075761e-05
2035,6,4.829961e-05
2035,7,9.175667e-05
2035,8,8.260746e-05
2035,9,8.995508e-05
2035,10,4.7058405e-05
2035,11,3.5592996e-06
2035,12,5.0336787e-08
2036,1,4.68963e-08
2036,2,9.699961e-07
2036,3,4.420042e-06
2036,4,8.552523e-06
2036,5,2.5583695e-05
2036,6,5.1225703e-05
2036,7,7.704414e-05
2036,8,0.00010097056
2036,9,9.9611614e-05
2036,10,5.4518066e-05
2036,11,4.8789843e-06
2036,12,3.87768e-08
2037,1,5.8751537e-09
2037,2,8.864603e-08
2037,3,3.621336e-06
2037,4,7.813304e-06
2037,5,1.2849203e-05
2037,6,5.4970456e-05
2037,7,6.9134e-05
2037,8,7.952689e-05
2037,9,7.7760946e-05
2037,10,6.327172e-05
2037,11,2.3621991e-05
2037,12,5.27581e-08
2038,1,3.916992e-08
2038,2,1.3882944e-06
2038,3,2.6111406e-06
2038,4,8.385721e-06
2038,5,2.680654e-05
2038,6,5.7877103e-05
2038,7,0.00010391431
2038,8,9.173278e-05
2038,9,7.089477e-05
2038,10,4.857552e-05
2038,11,2.6924265e-06
2038,12,1.3247517e-07
2039,1,2.726229e-07
2039,2,1.5721107e-06
2039,3,4.1918474e-06
2039,4,9.948891e-06
2039,5,2.1449116e-05
2039,6,7.653862e-05
2039,7,8.864949e-05
2039,8,9.8447934e-05
2039,9,9.184271e-05
2039,10,6.2410734e-05
2039,11,1.1831292e-05
2039,12,4.656546e-07
2040,1,4.0878942e-07
2040,2,2.021395e-07
2040,3,4.3501354e-06
2040,4,1.07706355e-05
2040,5,2.7021155e-05
2040,6,6.189693e-05
2040,7,9.09944e-05
2040,8,9.0731184e-05
2040,9,9.740568e-05
2040,10,5.4377164e-05
2040,11,1.6372434e-05
2040,12,2.1389612e-08
2041,1,4.4623103e-08
2041,2,1.2417814e-06
2041,3,2.9241003e-06
2041,4,6.8528984e-06
2041,5,1.3211257e-05
2041,6,6.6262786e-05
2041,7,9.649012e-05
2041,8,0.00010425554
2041,9,6.764863e-05
2041,10,3.7769874e-05
2041,11,1.5472095e-05
2041,12,6.820109e-07
2042,1,9.3634236e-07
2042,2,1.5219929e-06
2042,3,3.343585e-06
2042,4,8.361538e-06
2042,5,1.5893165e-05
2042,6,6.1193925e-05
2042,7,9.491677e-05
2042,8,0.0001134681
2042,9,8.979831e-05
2042,10,3.7518115e-05
2042,11,6.644e-06
2042,12,5.098363e-07
2043,1,1.8595303e-08
2043,2,1.6279381e-06
2043,3,3.178351e-06
2043,4,1.186732e-05
2043,5,2.2811902e-05
2043,6,5.6558132e-05
2043,7,7.995772e-05
2043,8,9.387645e-05
2043,9,8.3610066e-05
2043,10,4.09262e-05
2043,11,5.2189e-06
2043,12,1.2742632e-07
2044,1,1.8381652e-07
2044,2,6.801784e-07
2044,3,5.547692e-06
2044,4,9.17373e-06
2044,5,2.1047535e-05
2044,6,3.6183104e-05
2044,7,8.728951e-05
2044,8,9.434729e-05
2044,9,9.510848e-05
2044,10,4.630967e-05
2044,11,9.287877e-06
2044,12,1.8087154e-07
2045,1,3.0611446e-07
2045,2,7.7359914e-07
2045,3,4.282637e-06
2045,4,1.1500522e-05
2045,5,1.0446949e-05
2045,6,4.561443e-05
2045,7,8.0724414e-05
2045,8,9.911753e-05
2045,9,7.955168e-05
2045,10,5.032875e-05
2045,11,9.112896e-06
2045,12,2.6125154e-08
2046,1,3.439607e-08
2046,2,1.9849012e-06
2046,3,4.187966e-06
2046,4,6.756238e-06
2046,5,1.2759546e-05
2046,6,3.662079e-05
2046,7,9.1794405e-05
2046,8,7.7822224e-05
2046,9,7.355186e-05
2046,10,7.181746e-05
2046,11,2.691659e-05
2046,12,3.8026583e-06
2047,1,1.0481278e-07
2047,2,1.7491953e-06
2047,3,2.2224299e-06
2047,4,1.0192404e-05
2047,5,1.9086956e-05
2047,6,8.3657214e-05
2047,7,7.6035016e-05
2047,8,7.417344e-05
2047,9,8.111172e-05
2047,10,2.4525743e-05
2047,11,5.4699412e-06
2047,12,4.616416e-07
2048,1,4.3419573e-07
2048,2,1.7221732e-06
2048,3,2.8112906e-06
2048,4,1.1521597e-05
2048,5,1.5569469e-05
2048,6,6.0966202e-05
2048,7,9.7663265e-05
2048,8,8.8209286e-05
2048,9,9.2495306e-05
2048,10,5.652605e-05
2048,11,5.8290993e-06
2048,12,8.633068e-08
2049,1,8.0223614e-08
2049,2,3.856603e-07
2049,3,6.6639805e-06
2049,4,1.339706e-05
2049,5,1.834659e-05
2049,6,7.049792e-05
2049,7,9.0062e-05
2049,8,8.516241e-05
2049,9,8.7596374e-05
2049,10,7.25534e-05
2049,11,1.7942462e-05
2049,12,8.360897e-07
2050,1,1.5978571e-07
2050,2,3.1432177e-07
2050,3,1.52286e-06
2050,4,8.636106e-06
2050,5,1.9430332e-05
2050,6,6.7755085e-05
2050,7,7.5287804e-05
2050,8,9.9131685e-05
2050,9,8.056687e-05
2050,10,2.9750734e-05
2050,11,1.42092595e-05
2050,12,1.5038554e-06
2051,1,2.1201701e-07
2051,2,4.1903024e-07
2051,3,3.850395e-06
2051,4,1.1774141e-05
2051,5,1.2974558e-05
2051,6,5.6114466e-05
2051,7,8.709848e-05
2051,8,9.0762784e-05
2051,9,7.676001e-05
2051,10,3.3819273e-05
2051,11,8.2757e-06
2051,12,2.178423e-07
2052,1,6.87531e-08
2052,2,2.1248343e-07
2052,3,3.887818e-06
2052,4,1.0666029e-05
2052,5,2.3076294e-05
2052,6,6.3876934e-05
2052,7,9.358016e-05
2052,8,9.365529e-05
2052,9,9.215332e-05
2052,10,5.2836236e-05
2052,11,1.335459e-05
2052,12,1.12805665e-07
2053,1,1.1465675e-07
2053,2,5.847308e-07
2053,3,2.6148748e-06
2053,4,1.0480217e-05
2053,5,1.2635182e-05
2053,6,4.478934e-05
2053,7,8.576709e-05
2053,8,8.195874e-05
2053,9,7.773244e-05
2053,10,4.5063283e-05
2053,11,6.7531696e-06
2053,12,2.592883e-07
2054,1,4.3572488e-08
2054,2,3.6569728e-07
2054,3,3.1915972e-06
2054,4,8.70291e-06
2054,5,2.485616e-05
2054,6,3.880902e-05
2054,7,8.13819e-05
2054,8,0.00010157766
2054,9,7.621066e-05
2054,10,4.25998e-05
2054,11,1.9864812e-05
2054,12,2.5102265e-08
2055,1,8.5310155e-08
2055,2,5.769561e-07
2055,3,3.944633e-06
2055,4,1.230876e-05
2055,5,2.3196812e-05
2055,6,5.6339326e-05
2055,7,8.0509504e-05
2055,8,9.307549e-05
2055,9,8.178378e-05
2055,10,4.2001553e-05
2055,11,3.346233e-06
2055,12,2.3632586e-08
2056,1,3.9612996e-07
2056,2,4.2563713e-07
2056,3,6.2476015e-06
2056,4,1.3139871e-05
2056,5,1.1698753e-05
2056,6,7.248532e-05
2056,7,8.3062e-05
2056,8,8.60781e-05
2056,9,7.068033e-05
2056,10,3.898997e-05
2056,11,6.7795395e-06
2056,12,1.1231811e-07
2057,1,3.7997683e-07
2057,2,5.924589e-07
2057,3,3.0292888e-06
2057,4,7.559021e-06
2057,5,2.013007e-05
2057,6,6.0068956e-05
2057,7,7.150976e-05
2057,8,8.8549925e-05
2057,9,6.8931855e-05
2057,10,4.2307558e-05
2057,11,1.278338e-05
2057,12,1.6869542e-07
2058,1,2.7189287e-07
2058,2,2.198913e-07
2058,3,2.5532295e-06
2058,4,9.907986e-06
2058,5,2.235447e-05
2058,6,7.2522314e-05
2058,7,9.942847e-05
2058,8,0.00012405202
2058,9,8.325015e-05
2058,10,3.07706e-05
2058,11,4.4406306e-06
2058,12,3.1850726e-07
2059,1,8.2657756e-08
2059,2,1.323241e-06
2059,3,4.273517e-06
2059,4,9.512888e-06
2059,5,2.51854e-05
2059,6,5.5372042e-05
2059,7,7.971746e-05
2059,8,8.2024126e-05
2059,9,8.215039e-05
2059,10,6.606884e-05
2059,11,1.9439834e-05
2059,12,2.1511026e-08
2060,1,3.9465558e-08
2060,2,5.654252e-07
2060,3,2.5521458e-06
2060,4,1.1051622e-05
2060,5,1.652007e-05
2060,6,5.1825307e-05
2060,7,8.697697e-05
2060,8,9.197485e-05
2060,9,8.783777e-05
2060,10,4.1761054e-05
2060,11,7.4424565e-06
2060,12,1.03752935e-08
2061,1,3.6408697e-08
2061,2,7.1582537e-07
2061,3,4.0125024e-06
2061,4,1.3679829e-05
2061,5,1.603008e-05
2061,6,8.497919e-05
2061,7,8.837913e-05
2061,8,9.0335845e-05
2061,9,8.594059e-05
2061,10,4.690295e-05
2061,11,5.657667e-06
2061,12,1.6146449e-06
2062,1,3.160151e-07
2062,2,1.1821465e-06
2062,3,3.1085333e-06
2062,4,1.0411909e-05
2062,5,2.8323271e-05
2062,6,5.0688053e-05
2062,7,7.804556e-05
2062,8,9.705565e-05
2062,9,8.500443e-05
2062,10,3.156113e-05
2062,11,2.3951377e-06
2062,12,2.6595835e-08
2063,1,1.8306993e-07
2063,2,5.7790425e-07
2063,3,3.350296e-06
2063,4,1.0927524e-05
2063,5,2.9345243e-05
2063,6,6.258441e-05
2063,7,8.202541e-05
2063,8,0.00010249443
2063,9,7.824224e-05
2063,10,5.6255005e-05
2063,11,2.4408137e-06
2063,12,1.7830443e-07
2064,1,7.231941e-08
2064,2,9.935455e-07
2064,3,3.9881916e-06
2064,4,7.0913225e-06
2064,5,2.5918092e-05
2064,6,6.149146e-05
2064,7,9.0556605e-05
2064,8,0.00010778417
2064,9,8.980754e-05
2064,10,6.259028e-05
2064,11,9.12197e-06
2064,12,2.186981e-08
2065,1,2.2885332e-07
2065,2,4.2887355e-06
2065,3,3.2190155e-06
2065,4,6.5426007e-06
2065,5,2.2625472e-05
2065,6,4.8122907e-05
2065,7,9.85276e-05
2065,8,0.00010354449
2065,9,8.3651525e-05
2065,10,4.2440053e-05
2065,11,1.1577599e-05
2065,12,2.400872e-08
2066,1,1.3546439e-07
2066,2,1.5703111e-07
2066,3,5.761463e-06
2066,4,1.3777681e-05
2066,5,2.9701961e-05
2066,6,6.387531e-05
2066,7,9.9099e-05
2066,8,9.6608346e-05
2066,9,7.309486e-05
2066,10,4.5201203e-05
2066,11,4.3477457e-06
2066,12,5.7568535e-08
2067,1,1.1317937e-07
2067,2,1.7672848e-07
2067,3,6.035621e-06
2067,4,1.0123625e-05
2067,5,1.945162e-05
2067,6,4.9361264e-05
2067,7,7.225071e-05
2067,8,0.000109222245
2067,9,9.315993e-05
2067,10,5.3422013e-05
2067,11,2.2550958e-05
2067,12,1.542058e-07
2068,1,7.470479e-09
2068,2,2.0647812e-07
2068,3,3.1616028e-06
2068,4,9.133836e-06
2068,5,1.5689451e-05
2068,6,5.4919627e-05
2068,7,8.711413e-05
2068,8,8.525952e-05
2068,9,8.13827e-05
2068,10,5.96971e-05
2068,11,9.392613e-06
2068,12,1.1207487e-06
2069,1,1.4513105e-07
2069,2,9.150066e-07
2069,3,6.2191884e-06
2069,4,8.730774e-06
2069,5,2.866856e-05
2069,6,6.2968495e-05
2069,7,8.354483e-05
2069,8,0.00011363216
2069,9,7.0169386e-05
2069,10,3.399104e-05
2069,11,5.3993217e-06
2069,12,1.4231502e-07
2070,1,6.688847e-07
2070,2,2.2170416e-06
2070,3,4.994428e-06
2070,4,6.9500757e-06
2070,5,1.5481928e-05
2070,6,7.077323e-05
2070,7,9.988863e-05
2070,8,0.000100444486
2070,9,8.777198e-05
2070,10,5.3662807e-05
2070,11,5.323314e-06
2070,12,3.6330826e-07
2071,1,1.5786955e-07
2071,2,9.0978193e-07
2071,3,5.152225e-06
2071,4,8.897533e-06
2071,5,4.1574873e-05
2071,6,6.503662e-05
2071,7,8.7702545e-05
2071,8,6.767824e-05
2071,9,7.76265e-05
2071,10,4.4459248e-05
2071,11,1.165169e-05
2071,12,1.16968145e-07
2072,1,1.10765495e-08
2072,2,7.35387e-07
2072,3,3.566646e-06
2072,4,1.3887558e-05
2072,5,2.522519e-05
2072,6,6.909138e-05
2072,7,8.563594e-05
2072,8,9.9722485e-05
2072,9,6.58107e-05
2072,10,4.69031e-05
